sentiment,tweet
neg,عرف بتس شوي شوي جيبو رسي زيد loudly_crying_face
neg,وقع جات دار شوف كمل لي حسا حدا نقص broken_heart
pos,كتب وقع نتج لقء هلل اهل تاق دخل سحب قيم ايف x backhand_index_pointing_down
neg,حيي اضع نسل كتر فجر موت اخر بدا كتر droplet microbe collision
neg,دود جاي كمل broken_heart
neg,حبب قنعنى فات عمر نظر see-no-evil_monkey
neg,بدا دجل تهم جسد بنئ يكر عبر سمع بشر عطش شرب ماء backhand_index_pointing_up backhand_index_pointing_up broken_heart
neg,جلس ذكر persevering_face
neg,كفى خفف عقل عرب حق امن خبر لمن قدر عصب جرم thinking_face
neg,يلل تر كلج كثر مشي loudly_crying_face
neg,سعة وين الل بقى فر باه بشر اعرف نهى عرق
neg,لاه محد معي broken_heart
neg,نتا يم ال ناس حدث بصر شهر غافل قتل ظاهر دم برد قتل confused_face
neg,الل pensive_face
neg,فرج دءا مسا قرب قرب فنز ال باب اسر مدر لاه broken_heart
neg,تب شي اقى جنس ريفر عطى جمع عزز قدر بلس الت ذي منة لك atom_symbol flushed_face biohazard winking_face small_orange_diamond man rose rose check_mark_button
neg,ماش وقت خلص تعب دهي loudly_crying_face
neg,عرف نهو تغر تغر نتا هاد قلة ادب unamused_face
neg,رب رزقگ حلل broken_heart
neg,جمل حل بي وقع بك wilted_flower
neg,broken_heart
neg,سفر امر شف خبي expressionless_face
neg,الل سلم downcast_face_with_sweat
neg,قسم الل نهو عسل سدر طبع no_entry honey_pot honey_pot no_entry hot_springs warning
neg,شكر الل نوى قلب عضل مو عظم بضل عضل رحم كسر pensive_face
neg,سأل حبب زم اجب عبر ورء عبر دام broken_heart
neg,اقل مايعور كثر نار weary_face
neg,لي سلم pensive_face
neg,غرگ ضحگ رگز سمع cross_mark relieved_face cross_mark anguished_face
neg,اخف صبح خير pushpin
pos,برك يحء خرج شبح هبط شكل كثر ام ارح مكن هاردل لند حدا لذ جهد kissing_face_with_closed_eyes
neg,عب face_with_steam_from_nose
neg,فكر ناس طلع حيد face_without_mouth
neg,كتش قدم broken_heart
neg,شكل loudly_crying_face loudly_crying_face
neg,اسف نهو ركض موب مشى broken_heart
neg,سوي سطر astonished_face
neg,حذر سلم خير دنا جمع طرق ؤدى لعب غلق raised_hand warning triangular_flag no_entry warning raised_hand
neg,نتا حزن فرح هتكمل thinking_face
neg,بسم تغر loudly_crying_face
neg,لاه ناس كذب عطى امل زئف confused_face
neg,شاق تغب لذ شاء حية ابد سهل سمى حن broken_heart
neg,رغم شيء سمع دخل صوت تلا wilted_flower
neg,سم الل broken_heart
neg,فكر خصص حمتو جنب
neg,علا جيل رتح مو لحن وحد broken_heart
neg,وحد احا تعب جمل بسم شخص فضل broken_heart
neg,الل وحد ذكر زعج loudly_crying_face
neg,حقق خئن ال باع بلد مرر جند شخص thumbs_down
neg,خبط شوك شكي cactus
neg,حال اهي انا صرح بدي اخف جئز face_with_rolling_eyes eyes beaming_face_with_smiling_eyes weary_face
neg,ماتستخدمش معا لمح ابد بهر جرئ عش ماابهركش غبء smirking_face
neg,مان سرق فكر عب معى ونا توسط unamused_face new_moon_face face_with_tears_of_joy
neg,شاق ؤلف ردة قلب يهآ اخط confounded_face
neg,نظر pensive_face
neg,عبد قلب خرب ذنب ثقل غفر broken_heart red_heart
neg,كسر رقم شان بنق لفا سمع سعى ميل love-you_gesturelight_skin_tone
neg,سبح حمد شهد لآ اله الآ انت غفر اتب thought_balloon sparkles
neg,قومآ فجر برك غضب خضر يبس رجء حذر smiling_face_with_horns smiling_face_with_horns thinking_face
neg,ماش قلب flushed_face flushed_face flushed_face
neg,ؤلم حدث احب حتج همم فجأ همم broken_heart
neg,طبع هبد تي وحد خلى بلد حسن unamused_face expressionless_face unamused_face slightly_smiling_face slightly_smiling_face
neg,خطب كتب عنو الل قوم تب عبد قدر gem_stone pencil
neg,شعر وجع لجأ خير اخر broken_heart
neg,تذكر نظر جمع جدل جدد اسس ااي وحد عمل حلل سيس دير شك
neg,شعر قسى زور كنك قدم اعد كنك ترى صدقاء قدمى عودو صدقاء الآ
neg,عنو روي طلع اغن كمل بيت ييم قوم طلة شاف بحر حتس نتا حيس red_question_mark
neg,تحر حب see-no-evil_monkey
neg,تر شجع شعب جزر سود ظهر حكم سأل لمذ طلب حقق شرك درة بلد red_circle
neg,مسا thinking_face
neg,سهل اضع يد فم كي لآ صعب اضع يد قلب green_heart leaf_fluttering_in_wind tulip prayer_beads wilted_flower wilted_flower
neg,مطر ليل ونا pensive_face
neg,انا اني امر رور كرم انا فرق هز قصى ركنگ ㅤ ㅤㅤ sleeping_face heart_suit
pos,رجز ضحك خلق الل بك صحب عش لقش شفق حال broken_heart two_hearts
neg,حيو قلب احب broken_heart
neg,يم عطف سعد رجل عمل عان إحنب سرق اقل الل زاد يا فضل جنب
neg,نتا صاح خلص يا باب افي شي تهل دمع غلي
neg,شمتہ ۈلا نقم زمن ادر عجب سسواياهہ smirking_face
neg,دلق لقى ال عنى شوق غيب ابن نهو وني شوف يا طول
pos,قسم الل عسل سدر جبل طبع نحل hot_springs honey_pot thumbs_up prohibited prohibited hundred_points hundred_points hundred_points hundred_points smiling_face_with_smiling_eyes
neg,ال الل غفر الل flushed_face
neg,عرف دنا تسى جنح عوضهل ردة يادكتوره ركض ورا لذ عمر pensive_face
neg,بدو لك انن صبح هتم قسم لك انن كنا هتم بدي broken_heart cat_with_tears_of_joy cigarette
neg,ماتصدق neutral_face
neg,ازعل اكف thinking_face
neg,تفق confused_face
neg,امي حاج خبأ رحم ثني قسو ايم رهق حدا شعل رأس شيب broken_heart
neg,بنخ pensive_face
neg,حدى pensive_face
neg,قلب بوه قلب disappointed_face
neg,يرب هالمطر اخل قيد ذي امن
neg,جي صدر ضيق قفى خوي ضيق اجت
neg,ٲلس عيب حفظ اغا كرر سور صلة broken_heart
neg,هنم متا يا دمغ unamused_face
neg,تب انم sleeping_face
neg,جمع دعة قدم شكر امت شرك صلة خير collision collision red_triangle_pointed_down red_triangle_pointed_down
neg,عجب صيف زهق smirking_face
neg,حمد قيد زيد حرسو ثور قلع شجر جزر زات collision
neg,حرف broken_heart
neg,جمل كذذ اشف
neg,never forget the way he said قطر ايه انت عوز باظ هتل ماس ماس
neg,فعل حيد زمن بق loudly_crying_face
neg,خرج موت broken_heart
neg,يدو حكى قصة كثر نهو دعي كون عقل فعل حفز قصص فا بقى قصة اقى وسل
neg,حب شعة طلق شعر حيد حزن يبه face_without_mouth
neg,غلط مرة pensive_face
neg,الل يرز حد حد raised_hand
neg,تغب شمس شرق شمس تنر ليل عشق لبى نصر لبى عشق yellow_heart blue_heart yellow_heart blue_heart yellow_heart yellow_heart blue_heart blue_heart
neg,وسط خبر loudly_crying_face
neg,يرب الل مغب loudly_crying_face
neg,ابن عوف سلم اهى حب ود اخو اخو عنى كلو قلب بتع
neg,الل سمع broken_heart
neg,ريتو هوصف dm collision
neg,كي تعى بتع بور pensive_face
neg,اه عنى شبب زي كوس اصل thinking_face
neg,جدل حب اهل حت خسر حب ارد انا حبا انا عشق ولى ابد broken_heart
neg,نسم كدا فات كلو متح sleeping_face
neg,فيف عرف هلش غلط ماش فرض صرف جرء تحد سعد اقى
neg,الل broken_heart
pos,سلم رحم الل برك تبع كرم عهد خير برك دعم ختا ذكرى شرف raised_hand hibiscus
neg,مو عقل وتر الل عدى ليل خير broken_heart
neg,كونسر حلى حي loudly_crying_face
neg,ستر هلل جهل يا غرد شف توق غرب حطة جهل thinking_face backhand_index_pointing_down backhand_index_pointing_down
neg,انا مخنووق حكم رب اعن اذي ادر الل crying_face confused_face
neg,وي كثر اخر فتر broken_heart
neg,الل ثلث تفه عرس كره شوى عنى الم ركب عرس درا حب طلق عش تفه الم نشب
neg,قعد نوم unamused_face
neg,سلم ذنب هان حق جهل خفف وعد انم غلب هوى ضعف قوى round_pushpin
neg,وضع دهي كبر اوي عوز هندس فضء فن وغر خبر فرقع قيس بؤر نقط
neg,سرب حلق ولى face_screaming_in_fear
neg,يا ستر لاه طيب flushed_face
neg,فيء عبث قلب قيء wilted_flower
neg,وحد خيف ثور دي شدد يا رب كمل زي عيز open_hands
neg,بغى بنت broken_heart
neg,قآلو ليش انت گل هآلنآس ايش عشآ مخآليق الل رب cross_mark eight-pointed_star trident_emblem check_mark
neg,سبب جوي قرر أخر متح نصف قرر ثقف سلم كوى فتر ولى pushpin
neg,فيف اهل broken_heart
neg,لي سهر شطر شطر لي نيم حلم فين thinking_face
neg,حب گل مآ فيگ غيآبگ broken_heart
neg,تلة رقص ليل رقص انا بك دي حلو شدد باخ loudly_crying_face
neg,يا رب هون بق persevering_face
neg,ادء وحد نين وتر loudly_crying_face
neg,صبح خير raised_hand
neg,طبع دخل كلاتنبرغ طاع ملى مايريد thinking_face
neg,الل sad_but_relieved_face
pos,انت حاج رتي حقق شكل كثر رتي غرد وحد خلل eight-pointed_star clockwise_vertical_arrows round_pushpin eight-pointed_star
neg,اكذب الل loudly_crying_face
neg,دهي ولى نتا بق هتكل ايه face_with_tears_of_joy face_with_tears_of_joy pensive_face face_with_tears_of_joy
neg,طز يا بشر شعب حكم رئس سود عظم red_heart flexed_bicepslight_skin_tone Sudan Sudan
neg,تر كند new_moon_face
neg,حظر اه broken_heart
neg,سرط عرف طرق جمل شلل هترجع حسن رب شفى broken_heart
neg,اغث ارض قلب فرح زيل همم احز بشر بما سرى يرب broken_heart
neg,الل شفى سلم اخف وجع شفى ختا يا رب اهى شفى رضى سرط اخف loudly_crying_face
neg,زاج خرب unamused_face
neg,امي loudly_crying_face
neg,عبدالرزاق حمد الل برا هلل ارخ اثق
neg,يا الل broken_heart
neg,زاج ليش face_with_tears_of_joy face_with_tears_of_joy blue_heart
neg,عنى عجب ضعة صور تشف شي طبع عور رجل استر سحق
neg,ال ال اجن جنن شاب سعد بدو دخل جال حط وضع عنصر
neg,عرض قطرى كشف دوح عطى حوثى جنس قطر وقع كره جان تجر تر ولد عم عبدالملك
neg,بشر حاف broken_heart
neg,صحب هاشتاق بلد ملء see-no-evil_monkey
neg,نبي تبع صمت خلص zipper-mouth_face
neg,ناس باد ينل ذكر ونا لي ابع دوم صبح سعه اسف ينل اثن بدي
neg,قصة سمر اود سمر شف قوى هاك عمق نتوقعهاكي نبؤ وفاجأناهاكي سلح وفاجأنايبقى
neg,فاد جيت وحد اني بج سول ليش بج كتل فضل new_moon_face
neg,رئس ربع عرب ناح كتح فرق unamused_face
neg,سمع صدق اشف فعل غرب تنع جوس حصر قطر سبب اير حرب يمن يا thinking_face
neg,وضع الآ expressionless_face
neg,سمع قصة نبي حمد صلى الل سلم منى عيش broken_heart
neg,كثر دعء كثر دعء جمع prohibited prohibited
neg,قعد دقيق قلب مفاتيح يدى نور موبايل حد جيب فتح لصح وصل لبب تقم مفاتيح قعى منى pouting_face
neg,صبح خير شن هالكسل ال طفش جو طفش pensive_face
neg,نصب اقى تحس قدر جنس اخر قذف فتر طول عزز قدر جنس زاد red_circle white_circle black_circle blue_circle prohibited
neg,يم الل جرح جرحوو يم الل سمع سمع لي يم الل همي همم اهملوونييمه شال
neg,انا جذ رفزز حيلل broken_heart
neg,تكل رز flushed_face
neg,نقل رحم الل ولد صدق منى دعو خلص غفر broken_heart
neg,سور خطف خطف سن شري صحب نس طرق thinking_face
pos,اغن مكملناش broken_heart musical_notes
neg,نتا سعد خسر hushed_face
neg,يرب جيت broken_heart
neg,الل مدر شجع ريق شجع ريق باب وفق ببا yellow_heart blue_heart yellow_heart black_heart person_facepalminglight_skin_tone‍female_sign️ see-no-evil_monkey camel camel person_walkinglight_skin_tone‍female_sign️
neg,اخسر ابد ششنو حتج smirking_face
neg,مدر لاه عجب anxious_face_with_sweat
neg,جاي قلل new_moon_face
neg,ليش ذكر فدو رسم crying_face
neg,شحل اكل حال raised_hand
neg,حبب نتا حد مر ييه ماسامحج unamused_face
neg,راي حلو see-no-evil_monkey
neg,مرة قر كره انة حب broken_heart pensive_face purple_heart
neg,امن يا امة سكن وجع الم وجع كسر قلب pensive_face broken_heart shamrock
neg,قبض منج نقط فيش معى سدس سدس افي هجم حصل حرك بتع جرة بدن سبب خوف مهم دوش
neg,وقع هكر عيب زيد thinking_face
pos,هذي غرد حدى روق سرع فاز هلل شاء الل سرع وزع قيم ايف x
neg,لك ليك ردة لهن sad_but_relieved_face
neg,حية صدمگ بكگ حاج جهل بقى هنگ نسى crying_face
neg,عم كتب اسم عرب كبس بيس غلط طلع معي خل كمل واد حفظ عحل هضم writing_hand flushed_face backhand_index_pointing_down face_with_tears_of_joy expressionless_face person_facepalminglight_skin_tone‍male_sign️ person_facepalminglight_skin_tone‍male_sign️ person_facepalminglight_skin_tone‍male_sign️
neg,وهاتابعك عيز نبق قوى وحد يدى وحد حب اهل جمع انا تبع ناس رد باك ورى selfielight_skin_tone flexed_biceps smiling_face_with_heart-eyes thinking_face
neg,حلم تحد فاز نصر weary_face
neg,سهم سعد حدش pensive_face
neg,حدا فهم broken_heart
neg,الل بطل شعب عرق pensive_face
neg,عفو ثلث نقط نصر نقط raised_hand
neg,اقل راكنغ سعة loudly_crying_face
neg,شوى عرف نتا نورملامو فهم خسر smirking_face
neg,برح وظب تأخر حسا شي جسم وجع يتة تعب شلا اثن حرح باص باص broken_heart
neg,سوء بلء بلء شخص دمن فصل حلل سأل عقل انت زاد فكر knocked-out_face downcast_face_with_sweat pensive_face face_screaming_in_fear sad_but_relieved_face knocked-out_face
neg,ليل كتب قلم ليل حصد ارخ قتل قتل كي قتل
neg,غيب شمس نهي عمر ابد حسن ختم خير عمل خواتيم backhand_index_pointing_left raised_hand
neg,رفقو قلب يا جمع صور مطر
neg,تمل قلب صعب ملك broken_heart
neg,اسف حلو هطر ماش نمس يل رب كد pensive_face raised_handlight_skin_tone
neg,حسد علش شيف شن مر بسم ضحگ گثر pensive_face raised_hand broken_heart dove
neg,سمح يا ابي عد بكى broken_heart
neg,احل ال الل عظم
neg,طيب دعل pensive_face
neg,مخ انم
neg,وشى سلف ببا قدم رئس جنب سود وفد رفق thinking_face backhand_index_pointing_down
neg,الل بقة عزم broken_heart
neg,يرب سعد بدن ردد خوف الل سعد دار سخر عبد طيب يرب loudly_crying_face
pos,انت حاج رتي حقق شكل كثر رتي غرد eight-pointed_star clockwise_vertical_arrows round_pushpin
neg,عقل كبر طلع نصر قصب الل مايعرف جمع لمة لفز خلص flushed_face
neg,زعل وجع كأب ماتقرر وجه خلة جبرو broken_heart thumbs_up raised_hand
neg,قلة هوء سخن vs قلة عدي مهم فكر وضع upside-down_face
neg,اهو نهج وصف حلل thinking_face
neg,ليب عرك دئر خئن حفتر جلس وطن وفق سود ثور قلب شقق جزر ثور وعي
neg,حلى شعر ترح ماتعرف حدا عرف حدا حلى حبب هلج
neg,حتو ازا مكن غلب عنى سنل فض لسط broken_heart
neg,ريمونتادا كره open_hands
neg,قسم الل افي يتر كوى اه sad_but_relieved_face
neg,نوم ذكر حلم جمع مآ فرق يآم
neg,الل كنت بش حمدلل طلع ماش وحد sleeping_face
neg,جمل اهم هدف نصر حظ صرر جمع خرج كرة ضرب سرع نفذ ثوا pushpin
neg,تأكد حيل astonished_face
neg,سلى طيف ال نعش عش احس غيب طول ذمة اوحش broken_heart
neg,صلى سيئ broken_heart
neg,ايم عدي ال هذ
neg,منى زاج بر عئل خرب نسل بدع
neg,عمر كبر crying_face
neg,وفة تلو وفة كنت انا قدم احس ختم سخر لي دعا لي ملل broken_heart
neg,انا اضح ال رجل مو عرف وين الل حاط face_with_tears_of_joy broken_heart
neg,ناس اسي ال بوى بدو ارس حيل ضرب وتر أنب ضمر ماتوقعتك
neg,حال حال طرق صبح حرك رور نشط فرق Palestinian_Territories victory_hand Palestinian_Territories vertical_traffic_light
neg,اوف ليش عنصر ذي عيل شهر confused_face
neg,دنا غرق مطر برد ونا نيم loudly_crying_face
neg,هه ذكر زرف سمع وحد اخا صغر حطا مناكير لي قعد دار حق
neg,حاج ولد طلل لعب زي اغد عطى crying_cat
neg,ماج يتر ونا حال عال ماج لاو فين broken_heart
pos,غار حب صلى بكء ﻻ حب نظر عصب سرع كره فكر شغل two_hearts slightly_frowning_face loudly_crying_face five_o’clock pouting_face
neg,حترم جدآ ناس غلط عذر كبرش كبر احا حضر raised_hand
neg,سمة نير قربل يا بلح thinking_face
neg,اخف رجل عشق ام قدر مرأ خلق حشء اذى مرأ احب raised_hand red_heart
neg,نظر لزل تمس اسف قهر broken_heart
neg,اعد ارخ مر شاف وثق لحظ علماء لي عاش وخر شدد سيح شلا بحث
neg,صحي نوم شيط ركب see-no-evil_monkey
neg,ردد يم بهى اصو سمي يتم يتم كلب تمى pensive_face broken_heart
neg,وماادراك ابي crying_face
neg,انا بهر شخص لي حب مر اشف حسا اني مر اشف علا بهر ذهل لائ سئل
neg,محد احب دهم بلس ثري
neg,علا نكر عرف شغل سعى شردد
neg,حية دنا حية جمع ناقض سعد شقء حزن فرح صحة مرض نجح
neg,مي تو اشف ونا دخل قهر loudly_crying_face
neg,هام انا زي تين ظبط
neg,حب اتى مرض broken_heart
neg,نمج دعس اكسر رقم loudly_crying_face
neg,سلم رحم الل برك كتب شي اجر herb cherry_blossom herb wilted_flower wilted_flower
neg,يرب مطر قلب رض فرح نسى اأحز broken_heart
neg,اهم شي شوى قصد thinking_face
neg,تبع ممر حلو pensive_face
neg,سنى ماتقفلش حفر دفن جنب توى للى كتب دي
neg,اقي يتر بتع تعب كتر دور عله مكن شيرر عس جمع قلب تحد disappointed_face
neg,شاء الل دعم سمر ناس لي raised_hand BACK_arrow thumbs_up
neg,عجب قدم شكى thinking_face
neg,ايه لبث الل اني حزن خطر كسر broken_heart broken_heart
neg,اخر حد حسس
neg,سعة صبح صحي هلق الل وشى قدر نسة face_with_steam_from_nose
neg,حبا رسم انة صرح عرف رسم broken_heart
neg,الل الل سلط الل فضح امم لاء سبب فسد كرة الل شغل
neg,قوا غاز broken_heart
neg,غرب دار broken_heart
neg,وقع نتج برا جئز ريل صحب وقع صحح شرط سبق تبع dollar_banknote red_circle check_mark_button
neg,ٲغب ﮔثر وﻵ سأل شاق خبر شخص همﮭﺂ حدا ولﮕ relieved_face index_pointing_up pensive_face raised_hand
neg,اقل موزنبيقي تزج رأة تمل قدم كبر قدم thinking_face
neg,احن تفق يا فيش حاج فرح بلد دي واح حاج فرح الل معى مر حلو red_heart eagle red_heart broken_heart red_heart
neg,مشاهير وزن ثال رشق بدي صحه جسم سلم قوم ديت حمة hugging_face smiling_face
neg,وجب نعر دار سلب جاد جاد نهو كبر اهم شي جاد خاص سرع شي fire smiling_face_with_heart-eyes fire see-no-evil_monkey sleeping_face
neg,شت شمل broken_heart
neg,الل وحد اشف شي مسا طول ليل عب عد نمى تو قيم ذكر خبر دنا broken_heart
neg,قآل لهآ آثق نفذ مآ طلب دوم بلآ قآش انآ سي سيد احق لي رفع
neg,افي فض عصم وجه جمع هني يا سود افي فض عصم وجه جمع هني يا سود افي فض no_entry no_entry no_entry
neg,الل وكل ظلم ظلم ظلم قيم
neg,قوميز لعب حرم لي جلس لحق حس عبدالغ الل عقل طقي بغل فرم thinking_face
neg,وضع broken_heart
neg,رجل صحب نجح رجل صحب قيم raised_hand
neg,تر كره صدق ضحك loudly_crying_face
neg,الل جدر قلب جمل ولى اغش اصب قرح دعة لسن صمت حكى thumbs_up anxious_face_with_sweat
pos,نص شكل سبب نبر صوة انا نقش علن حرب مان face_with_tears_of_joy broken_heart
neg,تخل فرس تخل عوب ضحك بكى انت عرف عنى حب حق انت سحق بقء بطن ارض broken_heart
neg,الل هلل قهر يل مو شكل احط حره هدا broken_heart
neg,تكس مورنينج حقق غاء متح sleeping_face
neg,تخر حلم كره broken_heart
neg,قلد لي thinking_face
neg,هلل فرق ونا اشف لخص اهل اشف كمل طبع ال برا
neg,ليش ماعزمتو face_with_steam_from_nose
neg,حسى قهة ودء ال قلب see-no-evil_monkey
neg,حذر مدح كثر ذكر دئم رجل دعب رأس حمر ركب هكذ
neg,افا هذي خرت رد نشد طول عمر هيط نقل ايهم جمع ندر فزع
neg,نهو قسة رد لي صفع ضعف اهل شهد صغر اهل بك ابن شدد قسة broken_heart broken_heart blue_heart
neg,الل يخذ ماتختار تصر ششه ال صوة تعب loudly_crying_face
neg,مو new_moon_face
neg,دعه خمط شن طلع لي pouting_face
neg,رجو جهو قيد بتع ضرب رصص قولو ديل قنص عش ناس اخف شيلو اريس
neg,يا اخا الل لسة طلب حقق طلب وحد الل ناس خذل broken_heart
neg,سن وسن ونا
neg,وقت ونى تخرج ثني loudly_crying_face face_with_tears_of_joy
neg,اعل نبك سو broken_heart
neg,شكل ارخ نصر confounded_face
neg,خد دهي crying_face
neg,عطي حظر thinking_face
neg,طيب بكى عرف صور دي حرق شدد حفظ رجل هزز مرة تشف رأة
neg,ربط وصل بيت ونا تفا raised_hand
neg,قطع قلب broken_heart
neg,خلص بق حسسو ذنب كرى انا loudly_crying_face
neg,الل قهر رب شاء الل وعر broken_heart
neg,سمع صيح كوك loudly_crying_face
neg,صدق اهل اقل لي نهو بنت منى تسل new_moon_face
neg,صبح wilted_flower
neg,ذكر جرح همل broken_heart
neg,صلة سلم ايه الل قرأ وفة نبك مر ولى علا اهى موت broken_heart
neg,عنصر رأة zipper-mouth_face
neg,هاذ رحل هاذ زعل هاذ ايم خبرو جمع اصل red_exclamation_mark red_exclamation_mark red_exclamation_mark
neg,شكل شكل اني كنت ورط ومو فا سأل قعد حوس broken_heart
neg,نوي شرى downcast_face_with_sweat
neg,بكم عصم وئم لفت رحب زور ولي وي يجر عقد سكن حسء ورق
neg,شكل جوز بيظ بدي يل خرب slightly_smiling_face slightly_smiling_face
neg,واح صغر عرف شعب سود طيب شعب عرب سعد حمي حمي سلم كشف
neg,قعد طرق شكى broken_heart
neg,كبر تخف جان نهر ببه قل عزز كثر غرب هاس اطب ليل بيه فرش بيه امي هنك خفي
neg,طبع خفى روبر موردوخ امبراطور صهو سك نيز فرع عرب وكس نيز جلة smirking_face
neg,نمى قرب حقق دور حن هبط pensive_face
neg,شكل عزا اخي تزج تحل لنس فضة sad_but_relieved_face
neg,بلز عط ريكش ولد لي صاح اقل loudly_crying_face
neg,تجر كوت بدن تحة رسل مرأ ورث حر قيم ملي ملي رضى جد حدث زهد pouting_face
neg,جهز ولع شوى cross_mark check_mark_button loudly_crying_face
neg,رجم لك أصنج فرس حكم دول غصب فرس نمى تعد face_with_medical_mask
neg,شن مال unamused_face
neg,خصص يدب اغر loudly_crying_face
neg,غرب غآدر وطن ايض غآدر وطآ صغر حيآتنآ قلب نحب broken_heart
neg,جرا زعل رضى تاه شعر جيت رضى وني زعل يهي كفى دخل عبر عطا شحم وعل
neg,كشف حبب تدخ سيب كمل معى see-no-evil_monkey
neg,شعر جمل شمل downcast_face_with_sweat
neg,شفا طهر جسد سكب هار رحه
neg,صبح شوق حد دمع فؤد شغل يا طيب حب
neg,زال طمح زال flexed_biceps red_heart
neg,لحظ كتر يم علش فكر نتا تغر بوى حبييب new_moon_face
neg,مراسيل وبي قصد باح سك عيف broken_heart
neg,انا كره جامع crying_cat
neg,جلس شغل لين فجر نهي نقع لاب شغل face_without_mouth
neg,تهل خات رون الل حفظ حفظج زينب محد تبع بي حق عرفتو blossom disappointed_face
neg,موت ماتوقع ردى loudly_crying_face
neg,صيف face_with_hand_over_mouth face_with_tears_of_joy
neg,فرص عبر مدى حب لك قلب broken_heart
neg,ابي موت بقك لي ابدافالعيش يا ضوء حية دئماذ موت بقك لي طن
neg,سعد قلب بسم احب وم تعس عكس broken_heart
neg,جلى شرق روح جلى حقق شيء صبح حية حب عطء نور
neg,جمل رقص خليجى تقم عربى عير تحرر سحق فرش مكو برل صبح tired_face
pos,الل اسم مو زور صلح ثور خلى كمل هدا face_with_tears_of_joy broken_heart
neg,سمع طعة سيد raised_hand
neg,تعد كبر حب احا broken_heart
neg,كنت حذر جمع اعد broken_heart
neg,فكر بال
neg,يا رب ثقل نتا وحد لي باه broken_heart
neg,وندم جمهور سلم تن حوصل اش سر نمر تو thinking_face
